,"(0, 0)","(0, 1)","(0, 2)","(1, 0)","(1, 1)","(1, 2)","(2, 0)","(2, 1)","(2, 2)"
XX0| X |  0,-2.5007211018678888,-2.308802266104034,-1.2475711090842974,3.180664592384,-1.4624906786586733,9.999962585558084,0.96186194944,5.544747162559783,-1.5634756929717109
 XX| 0X|000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  X|XX0|00 ,0.28038528,0.0,0.0,0.0,0.0,-1.9467267968000002,-2.0,0.0,0.0
000| X | X ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 0X|0X | X ,0.2859804745039809,-2.0,-2.0,-2.0,-3.2828976,-2.88,3.168317693031219,-3.02921568,0.0
X 0|00X|XX0,-5.857162898306562,1.9905552670342606,-5.406722189312,-3.2222431240793634,-4.352616049115005,-3.24611340115968,-4.394064881374005,-5.85319867260928,-3.2662080000000002
X0X|0 X|0  ,-3.6,-2.0,-3.52918624,-2.0,-3.6,-5.6154171775999995,-2.0,-2.88,1.7414258176
0X |0X |XX0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00X|X 0| X ,-2.0,-1.5685420416,0.0,0.0,1.4001319007365096,0.0,0.07600000000000001,0.0,4.959348632017306
X X|  0|X00,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0
 X0|XXX| 00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0  |0X |XX0,-2.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
0X |0X |0 X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00X|X X|X 0,-2.55887330844672,-1.5167771501680396,-1.5562644420350444,-2.018767104,9.774820018631475,-1.0728,-2.0,-3.6,-0.41876710400000017
00 |XXX|0X ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X00|  X| 0X,-3.892,-2.0,-2.0,-1.4527999999999999,3.6,-1.316,0.0,-2.0,-2.0
X00|XX |0  ,-4.880000000000001,-3.6,-2.0,-3.6,-3.6,-2.922722304,-2.0,-2.0,-2.0
  0| XX|X0 ,-1.6,-1.02278419646002,-4.880000000000001,-0.22435200000000002,-3.6,-2.0,-3.6,-2.0,-2.0
0XX| 0X|  0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
